MonthlyIncome,MonthlyRate,DailyRate,TotalWorkingYears,YearsAtCompany,YearsInCurrentRole,YearsWithCurrManager,StockOptionLevel,JobSatisfaction,EnvironmentSatisfaction,JobLevel,TrainingTimesLastYear,YearsSinceLastPromotion,JobInvolvement,RelationshipSatisfaction,WorkLifeBalance,Education
5993,19479,1102,8,6,4,5,0,3,1,2,0,0,3,1,1,2
5130,24907,279,10,10,7,7,1,1,2,2,3,1,2,4,3,1
2090,2396,1373,7,0,0,0,0,2,3,1,3,0,2,2,3,2
2909,23159,1392,8,8,7,0,0,2,3,1,3,3,3,3,3,4
3468,16632,591,6,2,2,2,1,1,0,1,3,2,3,4,3,1
3068,11864,1005,8,7,7,6,0,3,3,1,2,3,3,3,2,2
2670,9964,1324,12,1,0,0,3,0,2,1,3,0,4,1,2,3
2693,13335,1358,1,1,0,0,1,2,3,1,2,0,3,2,3,1
9526,8787,216,10,9,7,8,0,2,3,3,2,1,2,2,3,3
5237,16577,1299,17,7,7,7,2,2,2,2,3,7,3,2,2,3
2426,16479,809,6,5,4,3,1,1,0,1,5,0,4,3,3,3
4193,12682,153,10,9,5,8,0,2,3,2,3,0,2,4,3,2
2911,15170,670,5,5,2,3,1,2,0,1,1,4,3,4,2,1
2661,8758,1346,3,2,2,2,1,3,1,1,2,1,3,3,3,2
2028,12947,103,6,4,2,3,0,2,2,1,4,0,2,2,3,3
9980,10195,1389,10,10,9,8,1,0,1,3,1,8,4,3,3,4
3298,15053,334,7,6,2,5,2,1,0,1,5,0,4,4,2,2
2935,7324,1123,1,1,0,0,2,3,3,1,2,0,4,2,2,2
15427,22021,1219,31,25,8,7,0,3,0,4,3,3,2,3,3,4
3944,4306,371,6,3,2,2,0,3,3,1,3,1,3,3,3,3
4011,8232,673,5,4,2,3,1,2,0,2,5,1,4,4,2,2
3407,6986,1218,10,5,3,3,0,0,2,1,4,0,2,2,3,4
11994,21293,419,13,12,6,11,0,1,0,3,4,2,3,3,3,4
1232,19281,391,0,0,0,0,0,3,2,1,6,0,3,4,3,2
2960,17102,699,8,4,2,3,0,0,1,1,2,1,3,3,3,1
19094,10735,1282,26,14,13,8,1,2,2,5,3,4,3,4,2,3
3919,4681,1125,10,10,2,7,0,0,1,1,5,6,1,2,3,1
6825,21173,691,10,9,7,2,1,1,2,2,2,4,3,4,3,4
10248,2094,477,24,22,6,17,1,3,0,3,4,5,2,4,3,4
18947,22822,705,22,2,2,1,0,0,1,5,2,2,3,4,2,4
2496,6670,924,7,1,1,0,0,3,2,1,3,0,3,4,3,3
6465,19121,1459,9,4,2,3,0,3,3,2,5,1,3,4,4,4
2206,16117,125,10,10,0,8,0,2,3,1,5,1,2,1,3,2
2086,3335,895,19,1,0,0,1,3,3,2,6,0,3,3,4,3
2293,3020,813,6,2,0,0,1,3,1,1,2,2,3,1,2,3
2645,21923,1273,6,5,3,4,2,2,3,1,3,1,4,4,2,2
2683,3810,869,3,3,2,2,0,2,0,1,2,0,2,3,3,2
2014,9687,890,2,2,2,2,0,3,3,1,3,2,3,1,3,3
3419,13072,852,6,1,1,0,1,0,1,1,3,0,2,4,4,4
5376,3193,1141,10,5,3,3,2,0,2,2,3,1,4,1,3,3
1951,10910,464,1,1,0,0,1,3,2,1,3,0,3,3,3,2
2341,19715,1240,1,1,0,0,1,0,3,1,6,0,3,4,3,4
2293,10558,1357,1,1,0,1,0,2,0,1,2,0,1,3,2,3
8726,2975,994,9,9,8,7,0,2,3,3,0,1,3,4,3,3
4011,10781,721,12,12,8,7,0,3,2,2,2,3,3,4,3,2
19545,16280,1360,23,22,15,8,0,2,1,5,0,15,3,4,3,3
4568,10034,1065,10,9,5,7,0,2,1,2,2,8,3,3,3,4
3022,10227,408,8,1,0,0,0,1,1,1,1,0,3,1,3,2
5772,20445,1211,14,9,6,8,0,3,0,2,4,0,3,3,3,4
2269,4892,1229,1,1,0,1,0,3,3,1,2,0,4,4,3,1
5381,19294,626,23,1,0,0,0,2,0,3,2,0,2,4,3,2
3441,11179,1434,2,2,2,2,0,2,2,1,3,2,3,3,2,4
5454,4009,1488,9,4,3,3,1,0,1,2,2,1,3,3,2,5
9884,8302,1097,10,4,0,3,1,0,2,3,3,2,2,3,3,2
4157,21436,1443,5,2,2,0,1,3,2,2,2,0,2,3,2,3
13458,15146,515,15,15,14,12,0,3,0,3,1,8,3,3,3,2
9069,11031,853,9,9,8,8,1,0,1,3,3,1,3,4,2,5
4014,16002,1142,4,2,2,2,1,0,2,1,3,2,3,3,3,4
5915,9528,655,10,7,7,7,1,3,3,2,3,1,3,4,2,4
5993,2689,1115,7,7,5,7,1,2,0,2,2,0,2,3,4,4
6162,10877,427,9,9,8,8,1,3,0,2,3,7,3,2,3,3
2406,5456,653,10,10,3,9,0,3,3,2,2,9,3,4,3,5
18740,16701,989,29,27,3,8,1,2,1,5,2,13,2,4,2,2
7637,2354,1435,28,21,16,9,0,0,0,3,3,7,3,4,2,3
10096,8202,1223,17,17,14,8,3,2,2,3,2,12,3,2,3,3
14756,19730,836,21,5,0,2,3,2,3,4,2,0,3,3,3,3
6499,22656,1195,6,6,5,3,0,1,1,2,3,0,2,3,3,3
9724,18787,1339,25,1,0,0,1,0,1,3,2,0,3,3,3,3
2194,5868,664,5,3,2,2,1,0,1,1,2,1,3,4,2,3
3388,21777,318,2,1,0,0,1,2,3,1,0,0,2,1,2,3
5473,24668,1225,20,4,3,3,0,2,0,2,2,1,2,4,2,1
2703,4956,1328,6,5,4,4,1,1,2,1,3,0,3,4,3,3
2501,18775,1082,1,1,1,0,0,1,2,1,4,1,3,2,3,4
6220,7346,548,10,10,4,9,2,1,1,2,3,0,3,2,3,3
3038,22002,132,5,1,0,0,0,3,1,1,3,0,4,2,3,3
4424,20682,746,11,11,7,8,0,3,2,2,2,1,3,4,3,4
4312,23016,776,16,15,13,8,0,0,2,2,2,2,2,2,3,4
13245,15067,193,17,0,0,0,0,0,3,3,3,0,3,2,4,4
13664,25258,397,16,5,2,2,0,2,0,3,3,0,3,1,4,4
5021,10425,945,16,4,2,2,1,1,1,2,2,0,3,4,3,2
5126,15998,852,10,10,8,0,2,3,3,2,1,3,2,3,2,1
2859,26278,1214,6,6,4,4,0,2,1,1,3,0,2,1,3,3
10239,18092,111,24,1,0,0,1,3,0,3,4,1,3,4,3,2
5329,15717,573,17,13,11,9,3,3,1,2,3,1,1,4,3,3
4325,17736,1153,5,5,2,3,0,1,0,2,2,1,3,3,3,2
7260,21698,1400,37,6,4,2,0,3,3,3,3,0,1,1,2,3
2322,9518,541,3,0,0,0,1,0,2,1,3,0,3,3,3,1
2075,18725,432,10,4,2,3,2,3,3,1,4,0,3,2,3,4
4152,15830,288,11,11,10,8,3,3,2,2,3,10,2,1,3,3
9619,13596,669,9,9,8,7,0,3,2,3,3,4,2,4,3,2
13503,14115,530,22,22,3,11,1,1,2,4,3,11,2,4,2,4
5441,8423,632,11,10,7,0,0,3,2,2,2,1,3,4,1,4
5209,19760,1334,11,11,8,7,3,1,2,2,4,2,2,2,2,2
10673,3142,638,21,10,9,5,1,0,2,3,5,9,2,3,2,3
5010,24301,1093,12,11,8,7,0,2,1,2,0,5,3,1,3,4
13549,24001,1217,16,4,3,3,1,2,0,3,5,0,3,1,1,4
4999,17519,1353,4,3,2,2,1,2,0,2,2,0,3,1,2,2
4221,8863,120,5,5,4,4,0,2,1,2,3,0,3,2,4,3
13872,24409,682,38,37,10,8,0,2,3,4,1,1,3,3,2,4
2042,25043,489,17,3,2,2,1,1,1,2,3,1,3,3,4,3
2073,23648,807,7,3,2,2,0,0,2,1,3,0,3,4,3,4
2956,15178,827,1,1,0,0,0,0,3,1,2,0,3,4,3,1
2926,19783,871,1,1,0,0,0,3,3,1,5,1,2,2,3,3
4809,12482,665,16,16,13,10,0,2,0,2,3,2,3,3,3,4
5163,15850,1040,17,1,0,0,1,3,2,2,2,0,2,4,4,2
18844,21922,1420,30,3,2,2,1,3,2,5,3,2,2,4,3,4
18172,9755,1115,28,8,3,7,0,1,0,5,1,0,3,1,2,3
5744,26959,240,6,6,4,3,0,2,2,2,1,0,2,4,3,3
2889,26897,1280,2,2,2,1,2,3,3,1,2,2,2,3,3,1
2871,23785,534,1,0,0,0,0,3,1,1,5,0,3,3,3,3
7484,25796,1456,23,13,12,8,0,0,0,3,1,12,2,3,2,4
6074,22887,658,9,9,7,6,0,2,0,2,3,0,1,4,3,3
17328,13871,142,23,5,3,4,0,3,3,4,3,4,4,3,3,3
2774,13257,1127,6,5,3,2,1,2,1,1,2,1,3,3,3,1
4505,15000,1031,12,1,0,0,1,1,2,2,3,0,2,3,3,4
7428,14506,1189,12,5,3,3,0,3,2,3,3,1,3,1,3,3
11631,5615,1354,14,11,10,8,0,0,2,3,6,5,2,4,3,3
9738,22952,1467,10,9,7,8,1,3,1,3,6,2,3,3,3,2
2835,2561,922,7,1,0,0,1,3,0,1,2,0,3,1,3,2
16959,19494,394,25,25,12,12,2,3,2,4,3,4,3,4,4,2
2613,22310,1312,10,10,7,9,3,2,0,1,2,0,1,3,2,3
6146,15480,750,8,7,7,7,1,1,2,2,2,0,3,1,4,2
4963,4510,441,7,5,4,3,3,1,1,1,2,4,3,1,3,4
19537,6462,684,23,20,18,15,0,2,0,5,5,15,3,3,3,3
6172,20739,249,12,7,7,7,0,2,1,2,3,7,1,2,2,4
2368,23300,841,5,5,4,3,0,1,2,1,3,4,2,3,2,3
10312,3465,147,40,40,10,6,1,3,3,3,3,15,3,4,2,4
1675,26820,528,0,0,0,0,0,2,3,1,2,0,3,4,2,1
2523,19299,594,3,2,1,1,1,3,2,1,2,2,3,3,3,1
6567,5549,470,16,15,11,11,0,0,2,2,2,5,3,3,2,4
4739,16090,957,18,3,2,2,0,2,1,1,2,1,4,4,3,3
9208,6645,809,16,2,2,1,0,3,2,3,3,2,3,4,3,3
4559,24788,542,4,2,2,2,1,2,1,2,2,2,1,3,3,3
8189,21196,802,12,9,7,7,1,2,2,3,2,0,3,3,3,1
2942,8916,1355,8,8,7,7,1,2,2,1,3,5,3,4,3,1
4941,2819,216,7,3,2,1,2,1,1,2,0,0,3,4,3,2
10650,25150,1150,18,4,2,3,0,3,0,3,2,0,1,4,3,4
5902,14590,1329,17,15,11,9,1,2,3,2,1,5,2,3,4,4
8639,24835,959,6,2,2,2,0,2,0,2,3,2,2,4,3,3
6347,13982,1240,12,11,9,7,0,3,2,2,2,4,3,4,1,3
4200,10224,1033,10,5,4,4,0,0,0,1,2,0,3,1,4,3
3452,9752,1316,9,6,5,3,0,3,2,1,2,0,3,2,2,3
4317,2302,364,19,3,2,2,0,2,3,2,2,2,3,2,3,5
2632,23910,438,5,5,4,4,0,2,0,1,4,0,3,3,2,3
4668,22812,689,9,8,7,7,3,3,3,2,2,0,1,4,4,2
3204,10415,201,8,3,2,2,1,0,3,1,3,2,3,4,3,3
2720,11162,1427,6,5,3,2,0,3,1,1,3,1,2,4,3,1
17181,12888,857,21,7,6,7,1,0,3,4,2,7,2,2,2,3
2238,6961,933,7,5,0,4,1,0,2,1,2,1,3,4,3,4
1483,16102,1181,1,1,0,0,0,1,1,1,3,0,3,4,3,1
5605,8504,1395,20,20,7,13,1,1,1,2,2,2,3,1,3,3
7295,11439,662,10,10,8,6,2,1,2,3,3,0,3,1,3,5
2306,16047,1436,13,7,7,5,1,2,1,2,3,4,3,4,1,2
2348,10901,194,20,17,9,15,1,1,1,2,2,0,3,3,1,3
8998,15589,967,9,9,8,7,0,3,1,3,2,3,3,4,3,3
4319,26283,1496,10,10,7,9,1,2,3,2,1,0,3,1,3,1
6132,13983,1169,10,1,0,0,0,2,1,2,2,0,2,3,3,4
3346,11873,1145,9,1,0,0,1,1,1,1,3,0,2,2,2,3
10855,8552,630,15,12,11,11,1,3,2,3,2,2,2,1,2,4
2231,11314,303,6,4,3,2,1,2,2,1,3,1,3,4,3,4
2323,11992,1256,2,2,2,2,2,3,2,1,6,2,3,1,3,1
2024,5970,691,6,2,2,2,1,1,3,1,1,2,3,4,1,3
2713,6672,440,5,5,2,2,1,3,2,1,2,0,3,3,1,3
9439,23402,334,12,5,3,4,1,3,2,3,2,1,4,2,1,2
2566,25326,1450,1,1,1,1,1,2,2,1,2,0,2,4,2,3
19926,17053,1452,21,5,4,4,0,1,2,5,5,4,3,2,3,3
2451,4609,465,13,9,8,8,1,2,0,1,2,1,3,1,3,3
9419,8053,1339,12,10,9,4,1,3,1,3,2,7,3,3,3,3
8686,12930,702,12,8,3,7,0,3,0,2,2,0,2,3,4,4
3038,12430,120,8,5,4,4,0,2,2,1,2,1,3,1,3,5
3058,13364,1157,6,5,2,1,1,1,2,1,3,1,3,4,2,3
2325,20989,602,1,0,0,0,0,0,2,1,5,0,1,1,4,1
2088,15062,1480,13,8,7,2,0,1,3,1,3,7,3,3,2,2
3072,11012,111,12,12,9,10,2,0,2,2,4,6,3,3,3,3
5006,6319,1268,9,5,4,3,1,0,2,2,3,0,3,1,4,2
4257,13939,713,19,2,2,2,1,0,2,1,3,2,3,3,3,3
2500,10515,134,4,3,1,2,0,3,2,1,2,0,3,1,4,3
1102,9241,303,1,1,0,0,0,3,1,1,3,1,2,3,2,3
10453,2137,526,24,24,13,7,3,0,1,3,2,15,3,3,3,2
2288,6319,1380,2,2,2,1,0,3,2,1,3,2,3,3,3,2
3929,6984,140,7,4,2,2,1,3,2,1,0,0,3,3,3,1
2311,5711,629,9,3,2,2,0,1,3,1,3,1,3,4,3,2
3140,21728,1356,4,4,3,2,0,1,1,1,5,0,3,4,2,2
3690,3425,328,5,3,2,2,1,2,2,1,2,0,2,4,2,3
4450,26250,1084,5,4,2,3,2,0,3,2,3,1,4,3,3,2
2756,4673,931,8,8,7,6,1,1,3,1,5,1,3,4,3,3
19033,6499,989,21,20,8,9,1,2,3,5,2,9,3,2,3,1
18722,13339,692,36,24,15,15,0,1,2,5,3,2,4,4,3,4
9547,14074,1069,10,10,9,9,0,2,3,2,2,1,2,3,2,1
13734,7192,313,21,7,7,0,0,1,3,4,6,1,3,3,3,3
19999,5678,699,34,33,18,9,1,2,2,5,5,11,2,1,3,4
2279,11781,894,7,7,7,3,0,1,3,1,2,0,3,4,2,3
5916,15497,556,8,1,0,1,0,2,1,2,1,0,2,1,3,2
2089,5228,1344,7,5,4,2,3,3,3,1,3,2,4,4,4,3
16792,20462,1195,22,20,8,8,1,3,0,4,1,11,2,4,3,2
3564,22977,290,8,8,7,7,1,0,1,1,3,1,4,1,2,3
4425,15986,138,10,6,2,2,0,1,1,2,5,1,3,4,3,3
5265,16439,926,11,5,3,2,1,2,2,2,5,0,3,2,3,2
